[BASH] Running the hybrid graph500 for scale 21 with sorted edges
Initializing the shares for Hybrid platform.
	time_init:15804.01	time_par:784.06	rmt_vertex:50	rmt_edge:50	beta:2	pid0:50,50,25,25	pid1:50,50,25,25	
total	exec	init	comp	comm	finalize	cpu_comp	gpu_comp	gpu_total_comp	scatter	gather	aggr	trv_edges	exec_rate
1264.72	1192.91	3.07	751.85	441.04	0.00	337.71	715.17	715.17	31.00	15.99	0.85	67108862	0.0563
1125.88	1042.13	9.46	907.16	134.96	0.00	325.05	898.16	898.16	57.26	15.38	0.79	67108862	0.0644
1107.57	1032.63	9.43	941.01	91.60	0.00	290.63	902.49	902.49	18.70	22.37	0.79	67108862	0.0650
852.40	737.57	50.39	572.79	164.78	0.00	239.54	567.50	567.50	63.58	16.18	0.76	67108862	0.0910
816.52	735.74	5.14	307.84	427.89	0.00	222.10	284.21	284.21	69.07	15.97	1.10	67108862	0.0912
766.06	688.10	8.22	427.56	260.52	0.00	219.43	422.66	422.66	71.58	15.74	0.77	67108862	0.0975
832.11	724.84	35.66	574.05	150.77	0.00	223.20	539.69	539.69	75.02	18.35	0.79	67108862	0.0926
2590.86	2479.51	37.20	2319.03	160.46	0.00	512.27	2219.12	2219.12	57.47	23.53	0.76	67108862	0.0271
2496.37	2450.76	8.44	2301.65	149.09	0.00	222.37	2264.56	2264.56	61.96	23.41	0.75	67108862	0.0274
4398.01	4324.10	10.56	4187.25	136.84	0.00	590.79	4155.85	4155.85	16.43	17.44	0.78	67108862	0.0155
4504.83	4392.60	33.75	1173.48	3219.10	0.00	415.98	1135.62	1135.62	40.75	27.38	0.81	67108862	0.0153
1647.78	1546.44	34.36	712.25	834.17	0.00	340.65	664.26	664.26	61.88	18.07	0.88	67108862	0.0434
1672.63	1547.25	47.88	1398.04	149.20	0.00	458.71	1364.75	1364.75	42.34	46.23	0.86	67108862	0.0434
2132.86	1981.24	92.89	1827.27	153.95	0.00	487.77	1724.62	1724.62	19.14	15.93	0.78	67108862	0.0339
2011.41	1848.26	74.12	421.89	1426.33	0.00	304.88	390.41	390.41	64.15	17.00	0.86	67108862	0.0363
3056.38	2947.91	42.79	2800.24	147.65	0.00	300.04	2782.49	2782.49	46.88	20.35	0.96	67108862	0.0228
2948.53	2864.78	5.61	2766.37	98.39	0.00	650.44	2728.88	2728.88	13.72	17.94	0.86	67108862	0.0234
833.76	744.32	9.30	619.23	125.07	0.00	231.29	615.92	615.92	69.52	23.90	0.77	67108862	0.0902
